,,,,DICIEMBRE 2021.,,,,ENERO 2022.,,,,FEBRERO 2022.,,,,MARZO 2022.,,,,ABRIL 2022.,,,,MAYO 2022.,,,,JUNIO 2022.,,,,JULIO 2022.,,,,AGOSTO 2022.,,,,SEPTIEMBRE 2022.,,,,OCTUBRE 2022.,,,,NOVIEMBRE 2022.,,,,DICIEMBRE 2022.,,,
Piso,Especialidad,sub esp,Coordinador,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.,Medicos,Horas,Minutos,Pctes.
6,Alergia e Inmunologia Infantil,N/Quir,Eduardo Jerez,1,3,0,9,1,3,0,9,1,3,0,9,1,3,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Anestesia,,Rodrigo Santander,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,3,12,0,48,4,16,0,64,5,19,30,78,,,,,,,,
8,Anticoagulacion Oral,N/Quir,Jorge Aldunate,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19,1,4,45,19
8,Broncopulmonar Adulto,N/Quir,,2,18,40,68,2,18,40,68,2,18,40,68,2,18,40,68,2,21,40,80,2,21,40,80,1,15,0,60,,,,,,,,,,,,,,,,,,,,,,,,
6,Broncopulmonar Infantil,N/Quir,Eduardo Jerez,2,15,0,52,2,15,0,52,2,15,0,52,2,15,0,52,3,18,0,64,3,18,0,64,2,10,0,40,2,10,0,40,2,10,0,40,2,10,0,40,1,7,0,28,1,7,0,28,1,7,0,28
8,Cardiologia Adulto y arritmia,N/Quir,,8,53,5,181,10,58,5,196,10,58,5,196,10,59,5,199,11,57,5,201,11,57,5,201,11,68,5,245,11,68,5,245,11,68,5,245,11,68,5,245,11,66,25,240,11,67,25,243,11,67,25,243
8,Cardiologia Infantil,N/Quir,Eduardo Jerez,1,2,0,8,1,2,0,8,1,4,0,16,1,4,0,16,1,4,0,16,1,4,0,16,1,4,0,16,2,7,0,28,,,,,,,,,,,,,,,,,,,,
12,"Cirugia Adulto, Cabeza y Cuello, Digestivo, Bariatrica, Coloproctologia y Plastico, ",Quirurgica,Alvaro Urizar,25,197,30,770,25,196,45,767,25,202,0,788,25,202,15,789,23,191,45,747,23,198,45,776,23,199,0,777,24,210,15,822,25,214,15,838,24,210,15,826,24,210,15,826,25,207,0,813,27,218,15,858
12,Cirugia de Torax,Quirurgica,Francisco Parada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,40,14,1,4,40,14,1,4,40,14,1,4,40,14,1,6,20,19,,,,,,,,,,,,,,,,
6,Cirugia Infantil y Urologia Infantil,Quirurgica,Eduardo Jerez,8,23,0,89,8,22,0,86,7,20,0,80,7,19,0,76,7,19,0,76,6,15,0,60,7,17,0,66,6,15,0,58,6,15,0,58,6,15,0,58,6,15,0,58,6,15,0,58,6,15,0,58
8,Cirugia Cardiaca,Quirurgica,,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,3,6,0,20,2,4,0,12,,,,
5,Cirugia de Mamas,Quirurgica,Ricardo Trewhela,3,10,30,36,3,10,30,36,3,10,30,36,3,10,30,36,3,10,30,36,3,10,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cirugia Maxilo Facial,Quirurgica,Gerson Sepulveda,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22,3,5,30,22
12,Cirugia Vascular,Quirurgica,Jose Calderon,4,23,0,89,3,20,0,80,3,20,0,80,3,25,0,100,3,25,0,100,3,25,0,100,4,28,0,112,4,28,0,112,4,28,0,112,4,28,0,112,4,28,0,112,4,30,15,112,4,30,15,112
6,Dermatologia,N/Quir,Jorge Hernandez,2,23,0,92,2,23,0,92,2,23,0,92,1,12,0,48,1,12,0,48,2,27,30,110,3,37,30,150,3,37,30,150,3,37,30,150,3,37,0,148,3,37,0,148,3,37,0,148,3,44,0,176
9,Endocrinologia Adulto,N/Quir,,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,2,15,20,46,1,5,20,16,1,5,20,16,2,12,20,37,2,12,20,37
6,Endocrinologia Infantil,N/Quir,Eduardo Jerez,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44,1,14,40,44
6,Fisiatria Adulto,N/Quir,Melissa Segoba,1,4,0,8,1,4,0,8,1,4,0,8,1,4,0,8,1,4,0,8,1,4,0,8,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fonoaudiologia Adulto e Infantil,N/Med.,Melissa Segoba,1,11,20,34,1,11,20,34,1,11,20,34,1,11,20,34,1,9,20,28,1,9,20,28,1,9,20,28,1,5,40,17,1,10,40,32,1,10,40,32,1,9,40,29,1,9,40,29,1,9,40,29
6,Gastroenterologia Adulto,N/Quir,Erika Rodriguez,4,33,30,125,5,37,10,133,5,37,10,133,4,28,35,110,4,28,35,110,4,28,35,105,4,28,35,105,4,32,35,117,4,30,35,110,5,34,5,143,6,46,45,173,6,39,55,149,7,44,55,162
6,Gastroenterologia Infantil,N/Quir,Eduardo Jerez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Genetica Clinica Adulto e Infantil,N/Quir,Eduardo Jerez,1,3,0,6,1,3,0,6,1,3,0,6,1,5,0,10,1,5,0,10,1,5,0,10,1,5,0,10,1,5,0,10,1,5,0,10,1,5,0,10,1,4,0,8,1,4,0,8,1,4,0,8
