;;;;;;;;;;;;;;
BOX 402;Consulta Otorrino. Anexo .;;;;;;;BOX 403;Procedimientos de Otorrino;;;;;
;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO;;;LUNES;MARTES;MIÉRCOLES;JUEVES;VIERNES;SÁBADO
8:15;;;;Otorrino Natalia Bahamondes  08:20 a 14:00;;;;8:15;;;;;;
8:40;;;;;RESERVADO DRA. DE VECCHIS;;;8:40;;;;;;
9:00;;Otorrino C . DE VECCHIS de 08:20 a 13:00;;;;"Otorrino      J. Parra ""09:00 a 14:00""  ";;9:00;;;;;;
9:20;;;;;;;;9:20;;;;;;
9:40;;;;;;;;9:40;"T.M. Y. Lawry ""09:30 a 14:00""";"T.M. Y. Lawry ""09:30 a 14:00""";"T.M. Y. Lawry ""09:30 a 14:00""";"T.M. Y. Lawry ""09:30 a 14:00""";"T.M. Y. Lawry ""09:30 a 14:00""";
10:00;;;;;;;;10:00;;;;;;
10:20;;;;;;;;10:20;;;;;;
10:40;;;;;;;;10:40;;;;;;
11:00;;;;;;;;11:00;;;;;;
11:20;;;;;;;;11:20;;;;;;
11:40;;;;;;;;11:40;;;;;;
12:00;;;;;;;;12:00;;;;;;
12:20;;;;;;;;12:20;;;;;;
12:40;;;;;;;;12:40;;;;;;
13:00;;;;;;;;13:00;;;;;;
13:20;;;;;;;;13:20;;;;;;
13:40;;;;;;;;13:40;;;;;;
14:00;Otorrino Natalia Bahamondes  14:00 a 19:00;;;;;;;14:00;;;;;;
14:20;;;;;;;;14:20;;;;;;
14:40;;;;"Otorrino          R. Iracheta   ""14:30 a 19:00"" ";;;;14:40;;;;;;
15:00;;;"Otorrino      J. Parra ""16:00 a 20:00"" ";;;;;15:00;"T.M. Y. Lawry ""15:00 a 18:00""";"T.M. Y. Lawry ""15:00 a 18:00""";"T.M. Y. Lawry ""15:00 a 18:00""";"T.M. Y. Lawry ""15:00 a 18:00""";"T.M. Y. Lawry ""15:00 a 17:00""";
15:20;;;;;;;;15:20;;;;;;
15:40;;;;;;;;15:40;;;;;;
16:00;;;;;;;;16:00;;;;;;
16:20;;;;;;;;16:20;;;;;;
16:40;;;;;"Otorrino      J. Parra ""16:30 a 20:00""  //URRUTIA SOLO 12/04  16,00 A 19,30";;;16:40;;;;;;
17:00;;;;;;;;17:00;;;;;;
